timestamp,can_id,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7
3.2017499999999997,111,157,243,14,57,29,6,176,131
3.2024999999999997,101,0,0,0,0,0,0,0,0
3.4118999999999997,111,159,179,238,57,145,122,239,130
3.4127,101,0,0,0,0,0,0,0,0
3.6918499999999996,111,169,163,142,60,7,78,176,125
3.6925999999999997,101,0,0,0,0,0,0,0,0
3.79405,101,0,0,0,0,0,0,0,0
3.9917499999999997,111,165,83,14,59,250,157,175,128
3.9924999999999997,101,0,0,0,0,0,0,0,0
4.1895999999999995,111,169,115,174,59,245,45,144,131
4.19035,101,0,0,0,0,0,0,0,0
4.38755,111,161,11,207,188,170,241,175,112
4.38835,101,0,0,0,0,0,0,0,0
4.58555,111,175,219,13,56,229,69,176,125
4.5863499999999995,101,0,0,0,0,0,0,0,0
4.78355,111,165,99,46,60,241,153,176,123
4.78435,101,0,0,0,0,0,0,0,0
4.9818,111,169,179,78,58,34,46,175,124
4.98255,101,0,0,0,0,0,0,0,0
5.17955,111,161,131,110,187,27,194,207,122
5.18035,101,0,0,0,0,0,0,0,0
5.377549999999999,111,183,43,46,60,45,162,174,149
5.37835,101,0,0,0,0,0,0,0,0
5.57555,111,175,195,77,58,24,186,207,131
5.5763,101,0,0,0,0,0,0,0,0
5.77355,111,129,227,109,58,229,105,48,120
5.77435,101,0,0,0,0,0,0,0,0
5.97175,111,169,163,142,189,11,154,16,117
5.9727,101,0,0,0,0,0,0,0,0
6.1696,111,165,99,46,188,239,241,79,127
6.1705499999999995,101,0,0,0,0,0,0,0,0
6.3675999999999995,111,161,75,78,187,30,78,144,124
6.36855,101,0,0,0,0,0,0,0,0
6.5656,111,151,115,14,60,9,46,144,120
6.566549999999999,101,0,0,0,0,0,0,0,0
6.763599999999999,111,161,107,142,61,13,254,110,119
6.76455,101,0,0,0,0,0,0,0,0
6.9616999999999996,111,151,43,46,187,225,169,17,122
6.9624999999999995,101,0,0,0,0,0,0,0,0
7.159599999999999,111,187,67,14,189,241,173,48,130
7.16055,101,0,0,0,0,0,0,0,0
7.35755,111,195,147,78,187,180,109,51,134
7.3584499999999995,101,0,0,0,0,0,0,0,0
7.555549999999999,111,165,19,15,61,56,122,207,139
7.55645,101,0,0,0,0,0,0,0,0
7.75355,111,163,179,142,187,229,17,144,127
7.754449999999999,101,0,0,0,0,0,0,0,0
7.9517,111,147,147,174,57,226,205,112,128
7.95255,101,0,0,0,0,0,0,0,0
8.14955,111,177,211,206,59,19,226,47,122
8.1504,101,0,0,0,0,0,0,0,0
8.34755,111,171,107,206,58,10,34,16,120
8.3484,101,0,0,0,0,0,0,0,0
8.54555,111,145,219,14,188,183,1,118,105
8.54655,101,0,0,0,0,0,0,0,0
8.743599999999999,111,217,171,78,56,87,86,215,94
8.74455,101,0,0,0,0,0,0,0,0
8.941849999999999,111,39,180,78,55,161,124,179,52
9.13985,101,0,0,0,0,0,0,0,0
9.14115,111,33,236,240,183,7,130,114,143
9.33785,101,0,0,0,0,0,0,0,0
9.33905,111,53,76,176,54,61,94,19,137
9.53585,101,0,0,0,0,0,0,0,0
9.537049999999999,111,65,108,144,182,4,202,108,138
9.73385,101,0,0,0,0,0,0,0,0
9.7351,111,23,228,175,183,114,95,9,193
9.932,101,0,0,0,0,0,0,0,0
9.93325,111,185,123,206,187,21,218,12,138
10.1298,101,0,0,0,0,0,0,0,0
10.1312,111,193,3,46,188,4,42,240,121
10.3278,101,0,0,0,0,0,0,0,0
10.329049999999999,111,165,139,206,188,30,54,234,108
10.52585,101,0,0,0,0,0,0,0,0
10.52705,111,225,75,141,62,246,13,239,111
10.723849999999999,101,0,0,0,0,0,0,0,0
10.72505,111,229,3,141,62,230,57,113,141
10.922049999999999,101,0,0,0,0,0,0,0,0
10.92325,111,227,163,13,63,252,237,112,134
11.11985,101,0,0,0,0,0,0,0,0
11.1212,111,215,171,109,62,17,66,112,122
11.31785,101,0,0,0,0,0,0,0,0
11.319049999999999,111,213,147,141,62,0,174,80,132
11.51585,101,0,0,0,0,0,0,0,0
11.51705,111,207,195,45,62,0,54,112,127
11.713849999999999,101,0,0,0,0,0,0,0,0
11.71505,111,209,219,13,190,245,57,80,127
11.911999999999999,101,0,0,0,0,0,0,0,0
11.9132,111,219,163,141,61,248,229,143,125
12.10985,101,0,0,0,0,0,0,0,0
12.1112,111,213,155,205,189,0,38,240,131
12.30805,101,0,0,0,0,0,0,0,0
12.30905,111,207,203,237,61,254,37,80,126
12.50605,101,0,0,0,0,0,0,0,0
12.50705,111,215,203,13,190,6,14,144,126
12.704049999999999,101,0,0,0,0,0,0,0,0
12.70505,111,219,163,141,61,250,229,175,129
12.902299999999999,101,0,0,0,0,0,0,0,0
12.9033,111,213,163,205,189,5,2,176,126
13.10005,101,0,0,0,0,0,0,0,0
13.101199999999999,111,211,227,13,62,4,242,207,125
13.29805,101,0,0,0,0,0,0,0,0
13.29905,111,213,219,237,189,254,221,47,129
13.496049999999999,101,0,0,0,0,0,0,0,0
13.49705,111,219,155,141,189,250,17,144,130
13.694049999999999,101,0,0,0,0,0,0,0,0
13.69505,111,213,147,141,189,246,33,240,126
13.892199999999999,101,0,0,0,0,0,0,0,0
13.8932,111,211,227,237,189,21,82,80,131
14.09005,101,0,0,0,0,0,0,0,0
14.091199999999999,111,221,163,141,61,244,209,239,127
14.28805,101,0,0,0,0,0,0,0,0
14.28905,111,213,147,173,61,252,217,111,129
14.486049999999999,101,0,0,0,0,0,0,0,0
14.48705,111,209,187,45,62,4,202,111,126
14.68405,101,0,0,0,0,0,0,0,0
14.685049999999999,111,205,235,173,189,248,53,112,127
14.88195,111,215,131,13,62,0,250,15,131
14.88255,101,0,0,0,0,0,0,0,0
15.0796,111,201,235,237,61,251,201,79,129
15.0802,101,0,0,0,0,0,0,0,0
15.2776,111,207,243,45,62,13,90,176,126
15.2782,101,0,0,0,0,0,0,0,0
15.4756,111,209,163,205,189,1,206,79,126
15.476249999999999,101,0,0,0,0,0,0,0,0
15.673599999999999,111,207,179,205,189,248,13,144,130
15.674199999999999,101,0,0,0,0,0,0,0,0
15.871649999999999,111,205,243,141,62,8,242,143,129
15.8723,101,0,0,0,0,0,0,0,0
16.069599999999998,111,209,203,109,190,11,66,144,124
16.0702,101,0,0,0,0,0,0,0,0
16.267599999999998,111,215,107,13,190,12,50,208,129
16.2682,101,0,0,0,0,0,0,0,0
16.4656,111,199,195,109,62,5,14,240,129
16.4662,101,0,0,0,0,0,0,0,0
16.6636,111,201,235,141,190,6,246,79,127
16.6642,101,0,0,0,0,0,0,0,0
16.8617,111,213,163,77,62,8,14,80,127
16.86235,101,0,0,0,0,0,0,0,0
17.0596,111,209,139,205,62,255,17,240,128
17.0602,101,0,0,0,0,0,0,0,0
17.2576,111,199,219,205,190,254,21,48,131
