"timestamp","file_name","byte_4","byte_4_diff","driving_state"
"3.1778999999999997","00000001-69B44F7F.MF4","3","0.0","idle"
"3.39795","00000001-69B44F7F.MF4","14","11.0","idle"
"3.5877","00000001-69B44F7F.MF4","1","13.0","idle"
"3.7695999999999996","00000001-69B44F7F.MF4","254","253.0","driving"
"3.9677","00000001-69B44F7F.MF4","251","3.0","idle"
"4.1655999999999995","00000001-69B44F7F.MF4","251","0.0","idle"
"4.36505","00000001-69B44F7F.MF4","2","249.0","driving"
"4.561599999999999","00000001-69B44F7F.MF4","252","250.0","driving"
"4.76105","00000001-69B44F7F.MF4","252","0.0","idle"
"4.9593","00000001-69B44F7F.MF4","0","252.0","driving"
"5.1572","00000001-69B44F7F.MF4","9","9.0","idle"
"5.355049999999999","00000001-69B44F7F.MF4","235","226.0","driving"
"5.55305","00000001-69B44F7F.MF4","116","119.0","driving"
"5.751049999999999","00000001-69B44F7F.MF4","66","50.0","driving"
"5.9491499999999995","00000001-69B44F7F.MF4","13","53.0","driving"
"6.1472","00000001-69B44F7F.MF4","221","208.0","driving"
"6.34505","00000001-69B44F7F.MF4","212","9.0","idle"
"6.54305","00000001-69B44F7F.MF4","244","32.0","driving"
"6.7410499999999995","00000001-69B44F7F.MF4","219","25.0","driving"
"6.9392","00000001-69B44F7F.MF4","120","99.0","driving"
"7.1372","00000001-69B44F7F.MF4","2","118.0","driving"
"7.3351","00000001-69B44F7F.MF4","2","0.0","idle"
"7.533099999999999","00000001-69B44F7F.MF4","1","1.0","idle"
"7.7311","00000001-69B44F7F.MF4","1","0.0","idle"
"7.92915","00000001-69B44F7F.MF4","1","0.0","idle"
"8.1272","00000001-69B44F7F.MF4","255","254.0","driving"
"8.32505","00000001-69B44F7F.MF4","254","1.0","idle"
"8.52305","00000001-69B44F7F.MF4","253","1.0","idle"
"8.72105","00000001-69B44F7F.MF4","255","2.0","idle"
"8.91935","00000001-69B44F7F.MF4","255","0.0","idle"
"9.1172","00000001-69B44F7F.MF4","1","254.0","driving"
