session_id,source_file,mf4_start_time_utc,can_ids_hex,gnss_status_records,valid_fix_records,max_satellites,gnss_speed_records,valid_speed_records,moving_speed_records,max_speed_kmh,usable_ground_truth
SES_00000074,00007172-69EA7237.MF4,2026-03-18T17:59:53+00:00,"0x065, 0x06F, 0xCF00203, 0xCF00300, 0xCF00400, 0xCF00C03, 0x18EBFF00, 0x18EBFF27, 0x18EBFF29, 0x18ECFF00, 0x18ECFF27, 0x18ECFF29, 0x18F00029, 0x18F0010B, 0x18F00503, 0x18FD9503, 0x18FE4A03, 0x18FECA03, 0x18FEDF00, 0x18FEE617, 0x18FEED00, 0x18FEEE00, 0x18FEF100, 0x18FEF803, 0x1CEBFF00, 0x1CECFF00, 0x1CFF6F00, 0x1CFF7017, 0x1CFF7100, 0x1CFF7600, 0x1CFF7700, 0x1CFF7917",300,0,0,0,0,0,0.0,False
SES_00000075,00000002-69EA725B.MF4,2026-03-23T17:59:58+00:00,"0x065, 0x06F",300,0,0,0,0,0,0.0,False
SES_00000076,00000258-69EA7375.MF4,2026-03-23T17:59:58+00:00,"0x065, 0x06F",298,0,0,0,0,0,0.0,False
